chr   start   end   SDblocksIndexes
Hg38_Chr19  23362913  23417621 :  706  
Hg38_Chr19  23420248  23453631 :  707  
Hg38_Chr19  23467416  23492648 :  708  
Hg38_Chr19  23504581  23532490 :  709  
Hg38_Chr19  23595473  23615534 :  710  
Hg38_Chr19  23617650  23656365 :  711  
Hg38_Chr19  23661420  23677719 :  712  
Hg38_Chr19  23698266  23714171 :  713  
Hg38_Chr19  23721273  23766477 :  714  
Hg38_Chr19  23766759  23778994 :  715  
Hg38_Chr19  23791216  23797407 :  716  
Hg38_Chr19  23805378  23807168 :  717  
Hg38_Chr19  23807629  23827082 :  718  
Hg38_Chr19  23828130  23834183 :  719  
Hg38_Chr19  23835634  23841569 :  720  
Hg38_Chr19  23852275  23890454 :  721  722  
Hg38_Chr19  23896131  23936770 :  723  724  
Hg38_Chr19  23937865  23963847 :  725  
Hg38_Chr19  23966263  23970121 :  726  
Hg38_Chr19  24015434  24112311 :  727  728  
Hg38_Chr19  24112740  24147621 :  729  
Hg38_Chr19  24153224  24176033 :  730  
Hg38_Chr19  24177170  24201717 :  731  
Hg38_Chr19  27916864  27961427 :  732  733  734  
Hg38_Chr19  27961826  27993928 :  735  
Hg38_Chr19  27994652  27999060 :  736  
Hg38_Chr19  28057518  28092250 :  737  
Hg38_Chr19  28092508  28111111 :  738  
Hg38_Chr19  28121793  28178905 :  739  
Hg38_Chr19  28183529  28204962 :  740  
Hg38_Chr19  28205454  28269819 :  741  742  743  
Hg38_Chr19  28274033  28284597 :  744  
Hg38_Chr19  28285253  28384723 :  745  746  747  
Hg38_Chr19  28387374  28433159 :  748  
Hg38_Chr19  28434601  28539341 :  749  750  
Hg38_Chr19  28539573  28575132 :  751  
Hg38_Chr19  28575489  28665845 :  752  
Hg38_Chr19  28668968  28677457 :  753  
Hg38_Chr19  28679710  28684436 :  754  
Hg38_Chr19  28685246  28739330 :  755  756  
Hg38_Chr19  28743728  28753224 :  757  
Hg38_Chr19  28770775  28804873 :  758  
Hg38_Chr19  28808821  28837909 :  759  
Hg38_Chr19  28848774  29060272 :  760  761  762  763  764  765  
Hg38_Chr19  29063453  29133654 :  766  
Hg38_Chr19  29133848  29227013 :  767  768  769  770  771  
Hg38_Chr19  29237677  29350499 :  772  773  774  
Hg38_Chr19  29350724  29438513 :  775  
Hg38_Chr19  29513632  29541500 :  776  
Hg38_Chr19  29542577  29544095 :  777  
Hg38_Chr19  29557597  29608570 :  778  
Hg38_Chr19  29621501  29687931 :  779  
Hg38_Chr19  29690303  29714690 :  780  
Hg38_Chr19  29719976  29760591 :  781  782  
Hg38_Chr19  29761216  29780728 :  783  
Hg38_Chr19  29780833  29782591 :  784  
Hg38_Chr19  29785017  29798935 :  785  
Hg38_Chr19  29812484  29816179 :  786  
Hg38_Chr19  29816518  29844513 :  787  -773  
Hg38_Chr19  29844619  29869799 :  788  
Hg38_Chr19  29873674  29892137 :  789  
Hg38_Chr19  29924884  29942340 :  790  
Hg38_Chr19  29942730  29989133 :  791  792  
Hg38_Chr19  29989635  30141125 :  793  
Hg38_Chr19  30143930  30190690 :  794  
Hg38_Chr19  30192996  30224873 :  795  
Hg38_Chr19  30226231  30338034 :  796  797  798  799  
Hg38_Chr19  30340091  30399462 :  800  
Hg38_Chr19  30399796  30415227 :  801  
Hg38_Chr19  30415873  30469368 :  802  
Hg38_Chr19  30469373  30644949 :  803  804  
Hg38_Chr19  30645155  30680313 :  805  
Hg38_Chr19  30680814  30720943 :  806  
Hg38_Chr19  30722170  30765346 :  807  
Hg38_Chr19  30770155  30906068 :  808  809  810  
Hg38_Chr19  30906561  31080742 :  811  812  813  814  815  
Hg38_Chr19  31081421  31178378 :  816  
Hg38_Chr19  31180291  31183204 :  817  
Hg38_Chr19  31184587  31349109 :  818  819  
Hg38_Chr19  31350216  31476341 :  820  
Hg38_Chr19  31476535  31507024 :  821  
Hg38_Chr19  31507420  31653396 :  822  
Hg38_Chr19  31654546  31798053 :  823  
Hg38_Chr19  31798427  31836574 :  824  825  
Hg38_Chr19  31836577  32055300 :  826  827  
Hg38_Chr19  32060512  32127348 :  828  829  830  
Hg38_Chr19  32128735  32133661 :  831  
Hg38_Chr19  32134755  32169891 :  832  833  
Hg38_Chr19  32173519  32187804 :  834  
Hg38_Chr19  32195480  32260327 :  835  836  
Hg38_Chr19  32261647  32265539 :  837  
Hg38_Chr19  32265756  32269583 :  838  
Hg38_Chr19  32270576  32274400 :  839  
Hg38_Chr19  32281659  32294805 :  840  
Hg38_Chr19  32294815  32389403 :  841  
Hg38_Chr19  32392679  32409038 :  842  843  
Hg38_Chr19  32419404  32487368 :  844  
Hg38_Chr19  32503640  32544020 :  845  
Hg38_Chr19  32544413  32554042 :  846  
Hg38_Chr19  32555831  32571628 :  847  
Hg38_Chr19  32573135  32578208 :  848  
Hg38_Chr19  32578210  32588403 :  849  
Hg38_Chr19  32592312  32608018 :  850  
Hg38_Chr19  32609109  32640664 :  851  
Hg38_Chr19  32665772  32674685 :  852  
Hg38_Chr19  32704805  32720147 :  853  
Hg38_Chr19  32720762  32729537 :  854  
Hg38_Chr19  32747062  32805753 :  855  
Hg38_Chr19  32807270  32844883 :  856  
Hg38_Chr19  32865284  32867493 :  857  
Hg38_Chr19  32867919  32921901 :  858  859  
Hg38_Chr19  32927400  32953886 :  860  
Hg38_Chr19  32954150  32961597 :  861  
Hg38_Chr19  32975460  32983715 :  862  
Hg38_Chr19  32995661  33004106 :  863  
Hg38_Chr19  33005425  33006928 :  864  
Hg38_Chr19  33008296  33013871 :  865  
Hg38_Chr19  33034678  33048276 :  866  
Hg38_Chr19  33074772  33080420 :  867  
Hg38_Chr19  33083390  33101962 :  868  
Hg38_Chr19  33102423  33105226 :  869  
Hg38_Chr19  33137130  33194403 :  870  
Hg38_Chr19  33194924  33301846 :  871  872  
Hg38_Chr19  33314646  33795714 :  873  874  875  876  877  878  879  880  
Hg38_Chr19  33796005  33882224 :  881  
Hg38_Chr19  33903014  34009991 :  882  
Hg38_Chr19  34010576  34049412 :  883  
Hg38_Chr19  34049685  34055454 :  884  
Hg38_Chr19  34055758  34078477 :  885  
Hg38_Chr19  34080642  34131892 :  886  
Hg38_Chr19  34133722  34172449 :  887  
Hg38_Chr19  34172658  34232092 :  888  889  
Hg38_Chr19  34254770  34393002 :  890  891  892  
Hg38_Chr19  34458589  34462778 :  893  
Hg38_Chr19  34464083  34477321 :  894  
Hg38_Chr19  34492283  34534376 :  895  
Hg38_Chr19  34539194  34615929 :  896  897  898  
Hg38_Chr19  34626716  34658812 :  899  
Hg38_Chr19  34659328  34700564 :  900  
Hg38_Chr19  34704593  34797039 :  901  902  
Hg38_Chr19  34797954  34861961 :  903  
Hg38_Chr19  34865024  34869029 :  904  
Hg38_Chr19  34871414  34918813 :  905  
Hg38_Chr19  34923121  34945246 :  906  
Hg38_Chr19  34955408  34988774 :  907  
Hg38_Chr19  34992299  34996551 :  908  
Hg38_Chr19  34998070  35058177 :  909  
Hg38_Chr19  35058612  35071204 :  910  
Hg38_Chr19  35076719  35141262 :  911  912  
Hg38_Chr19  35141609  35143205 :  913  
Hg38_Chr19  35143431  35213735 :  914  
Hg38_Chr19  35218299  35227280 :  915  
Hg38_Chr19  35227468  35250837 :  916  
Hg38_Chr19  35250948  35268227 :  917  
Hg38_Chr19  35269394  35573499 :  918  919  920  921  
Hg38_Chr19  35575815  35609646 :  922  923  
Hg38_Chr19  35627621  35656780 :  924  
Hg38_Chr19  35687601  35717790 :  925  
Hg38_Chr19  35718087  35763219 :  926  
Hg38_Chr19  35763806  35775476 :  927  
Hg38_Chr19  35838244  35915161 :  928  
Hg38_Chr19  35933110  36053331 :  929  -688  930  931  
Hg38_Chr19  36053558  36068362 :  932  
Hg38_Chr19  36070054  36156354 :  933  934  
Hg38_Chr19  36240869  36247120 :  935  
Hg38_Chr19  36247924  36257537 :  936  937  
Hg38_Chr19  36292291  36383867 :  938  -638  939  940  941  
Hg38_Chr19  36414588  36485286 :  942  943  
Hg38_Chr19  36485480  36490464 :  944  
Hg38_Chr19  36507946  36660500 :  945  946  947  948  
Hg38_Chr19  36677324  36697626 :  949  
Hg38_Chr19  36701094  36748839 :  950  
Hg38_Chr19  36750198  36760293 :  951  
Hg38_Chr19  36798305  36804136 :  952  953  
Hg38_Chr19  36804680  36806658 :  954  
Hg38_Chr19  36807829  36852621 :  955  
Hg38_Chr19  36857447  36862572 :  956  
Hg38_Chr19  36868300  36901780 :  957  
Hg38_Chr19  36903821  36909558 :  958  
Hg38_Chr19  36910279  36920459 :  959  
Hg38_Chr19  36967281  37021318 :  960  
Hg38_Chr19  37021941  37023487 :  961  
Hg38_Chr19  37036549  37052520 :  962  
Hg38_Chr19  37054226  37090767 :  963  
Hg38_Chr19  37090953  37099856 :  964  965  
Hg38_Chr19  37101476  37104545 :  966  
Hg38_Chr19  37121332  37138719 :  967  
Hg38_Chr19  37138721  37151249 :  968  
Hg38_Chr19  37153226  37158986 :  969  -643  
Hg38_Chr19  37164407  37176332 :  970  
Hg38_Chr19  37176881  37188257 :  971  972  973  -641  974  
Hg38_Chr19  37212180  37220240 :  975  
Hg38_Chr19  37221591  37231480 :  976  
Hg38_Chr19  37231511  37240043 :  977  
Hg38_Chr19  37245250  37252691 :  978  
Hg38_Chr19  37253467  37259706 :  979  
Hg38_Chr19  37260260  37270773 :  980  981  982  983  984  985  
Hg38_Chr19  37272297  37273314 :  985  
Hg38_Chr19  37274824  37275841 :  985  
Hg38_Chr19  37277362  37278379 :  985  
Hg38_Chr19  37279887  37280907 :  985  
Hg38_Chr19  37284935  37285952 :  985  
Hg38_Chr19  37287463  37288480 :  985  
Hg38_Chr19  37289987  37316451 :  985  985  985  985  985  986  
Hg38_Chr19  37317921  37326241 :  987  
Hg38_Chr19  37332370  37336108 :  988  
Hg38_Chr19  37336868  37359701 :  989  
Hg38_Chr19  37376527  37425315 :  990  991  992  
Hg38_Chr19  37425451  37470718 :  993  994  
Hg38_Chr19  37472641  37498629 :  995  
Hg38_Chr19  37584981  37587049 :  996  
Hg38_Chr19  37587517  37626082 :  997  
Hg38_Chr19  37629690  37665503 :  998  
Hg38_Chr19  37688433  37751220 :  999  
Hg38_Chr19  37751883  37757751 :  1000  
Hg38_Chr19  37758598  37772443 :  1001  1002  
Hg38_Chr19  37772636  37837170 :  1003  1004  
Hg38_Chr19  37843055  37866177 :  1005  
Hg38_Chr19  37867144  37878499 :  1006  
Hg38_Chr19  37931481  37936088 :  1007  
Hg38_Chr19  37946312  38017208 :  1008  
Hg38_Chr19  38017534  38039385 :  1009  
Hg38_Chr19  38041376  38051078 :  1010  
Hg38_Chr19  38054328  38123279 :  1011  1012  1013  
Hg38_Chr19  38125040  38187469 :  1014  1015  
Hg38_Chr19  38188946  38215028 :  1016  
Hg38_Chr19  38261549  38264520 :  1017  
Hg38_Chr19  38310311  38363490 :  1018  1019  
Hg38_Chr19  38364737  38388804 :  1020  
Hg38_Chr19  38390003  38408012 :  1021  
Hg38_Chr19  38408255  38493762 :  1022  
Hg38_Chr19  38493943  38540569 :  1023  
Hg38_Chr19  38603229  38608541 :  1024  
Hg38_Chr19  38610394  38622115 :  1025  
Hg38_Chr19  38666167  38673017 :  1026  1027  1028  1029  
Hg38_Chr19  38673846  38735407 :  1030  
Hg38_Chr19  38737278  38747599 :  1031  
Hg38_Chr19  38769305  38773520 :  -572  
Hg38_Chr19  38787441  38796719 :  -575  
Hg38_Chr19  38867086  38960526 :  1032  1033  
Hg38_Chr19  38963291  38977355 :  1034  
Hg38_Chr19  39035478  39038480 :  1035  
Hg38_Chr19  39038913  39102854 :  1036  1037  
Hg38_Chr19  39103534  39123396 :  1038  
Hg38_Chr19  39124717  39241570 :  1039  
Hg38_Chr19  39244159  39245893 :  -558  
Hg38_Chr19  39247834  39266471 :  1040  
Hg38_Chr19  39267687  39290837 :  -560  1041  
Hg38_Chr19  39291756  39320329 :  1042  
Hg38_Chr19  39342660  39364982 :  1043  
Hg38_Chr19  39374165  39510103 :  1044  1045  
Hg38_Chr19  39533884  39636218 :  1046  -543  -542  1047  
Hg38_Chr19  39657667  39667596 :  1048  
Hg38_Chr19  39670341  39687002 :  1049  
Hg38_Chr19  39691143  39714181 :  1050  
Hg38_Chr19  39744377  39762055 :  1051  
Hg38_Chr19  39762146  39862311 :  1052  -537  1053  1054  
Hg38_Chr19  39875189  39878465 :  1055  
Hg38_Chr19  39885538  39890309 :  1056  1057  
Hg38_Chr19  39890355  39901760 :  1058  1055  1059  
Hg38_Chr19  39901790  39942634 :  1056  1057  1060  
Hg38_Chr19  39943730  39958404 :  1061  
Hg38_Chr19  39963041  39976400 :  1062  
Hg38_Chr19  39976829  40003003 :  1063  
Hg38_Chr19  40004037  40039574 :  1064  
Hg38_Chr19  40040040  40107230 :  1065  
Hg38_Chr19  40119396  40160683 :  1066  1067  1068  1069  
Hg38_Chr19  40183068  40258386 :  1070  
Hg38_Chr19  40260348  40289670 :  1071  
Hg38_Chr19  40375353  40402238 :  1072  -515  
Hg38_Chr19  40402768  40433079 :  1073  
Hg38_Chr19  40549248  40558107 :  1074  1075  1076  
Hg38_Chr19  40558389  40561062 :  1077  
Hg38_Chr19  40561525  40566814 :  1078  
Hg38_Chr19  40600671  40634976 :  1079  
Hg38_Chr19  40640015  40646521 :  1080  
Hg38_Chr19  40662706  40676509 :  1081  
Hg38_Chr19  40677033  40768001 :  1082  
Hg38_Chr19  40770191  40799261 :  1083  
Hg38_Chr19  40799796  40814787 :  1084  
Hg38_Chr19  40838038  40855857 :  1085  
Hg38_Chr19  40942423  40964673 :  1086  
Hg38_Chr19  40968605  40988542 :  1087  
Hg38_Chr19  40996095  40998414 :  1088  
Hg38_Chr19  40999584  41017013 :  1089  
Hg38_Chr19  41019018  41035184 :  1090  
Hg38_Chr19  41062713  41086838 :  1091  1092  
Hg38_Chr19  41089501  41100257 :  1093  
Hg38_Chr19  41104285  41121785 :  1094  
Hg38_Chr19  41122244  41142887 :  1095  
Hg38_Chr19  41182966  41188611 :  1096  
Hg38_Chr19  41188852  41219514 :  1097  
Hg38_Chr19  41245713  41336012 :  1098  1099  1100  1101  
Hg38_Chr19  41336392  41353470 :  1102  
Hg38_Chr19  41353817  41417768 :  1103  
Hg38_Chr19  41463225  41487858 :  1104  
Hg38_Chr19  41488176  41499099 :  1105  
Hg38_Chr19  41575699  41643880 :  1106  -474  1107  1108  
Hg38_Chr19  41645905  41718539 :  1109  1110  1111  
Hg38_Chr19  41719714  41747960 :  1112  1113  
Hg38_Chr19  41753465  41768123 :  1114  
Hg38_Chr19  41768824  41803874 :  1115  
Hg38_Chr19  41803986  41813581 :  1116  
Hg38_Chr19  41817334  41846866 :  1117  
Hg38_Chr19  41847192  41883008 :  1118  
Hg38_Chr19  41898132  41914814 :  1119  
Hg38_Chr19  41928386  41938379 :  1120  
Hg38_Chr19  41940920  41947259 :  1121  
Hg38_Chr19  41948824  41983095 :  1122  
Hg38_Chr19  41993528  42069317 :  1123  
Hg38_Chr19  42070301  42150439 :  1124  1125  1126  1127  1128  
Hg38_Chr19  42150665  42177073 :  1129  
Hg38_Chr19  42177424  42193048 :  1130  
Hg38_Chr19  42195513  42253397 :  1131  
Hg38_Chr19  42254441  42283756 :  1132  
Hg38_Chr19  42284478  42323976 :  1133  1134  
Hg38_Chr19  42324741  42366096 :  1135  
Hg38_Chr19  42367985  42386039 :  1136  
Hg38_Chr19  42386573  42387708 :  1137  
Hg38_Chr19  42388467  42415065 :  1138  
Hg38_Chr19  42417008  42429086 :  1139  
Hg38_Chr19  42430908  42455457 :  1140  1141  
Hg38_Chr19  42459675  42467565 :  1142  
Hg38_Chr19  42473462  42513446 :  1143  
Hg38_Chr19  42542303  42573595 :  1144  
Hg38_Chr19  42575293  42609665 :  1145  
Hg38_Chr19  42611303  42633424 :  1146  
Hg38_Chr19  42643454  42663251 :  1147  1148  1149  
Hg38_Chr19  42663713  42671316 :  1150  
Hg38_Chr19  42676677  42711229 :  1151  1152  
Hg38_Chr19  42720720  42731864 :  1153  1154  1155  
Hg38_Chr19  42731957  42734640 :  1156  1157  
Hg38_Chr19  42754180  42757077 :  1155  
Hg38_Chr19  42757170  42759853 :  1156  1157  
Hg38_Chr19  42771020  42806870 :  1158  1159  1160  1161  1162  1163  1164  
Hg38_Chr19  42811005  42818265 :  1165  1166  
Hg38_Chr19  42818566  42821764 :  1167  1168  
Hg38_Chr19  42827536  42833664 :  1169  
Hg38_Chr19  42848282  42849877 :  1157  
Hg38_Chr19  42894309  42900040 :  1170  
Hg38_Chr19  42913658  42914679 :  1171  
Hg38_Chr19  42919217  42924816 :  1172  
Hg38_Chr19  42945183  42951229 :  1173  1161  
Hg38_Chr19  42956315  42960916 :  1164  
Hg38_Chr19  42964074  42965383 :  1174  
Hg38_Chr19  42973138  42978747 :  1175  
Hg38_Chr19  43008270  43015960 :  1176  
Hg38_Chr19  43017943  43020625 :  1156  1157  
Hg38_Chr19  43026953  43031498 :  1177  
Hg38_Chr19  43035701  43036764 :  1159  
Hg38_Chr19  43038584  43044770 :  1178  
Hg38_Chr19  43052653  43056477 :  1164  
Hg38_Chr19  43058174  43060734 :  1169  
Hg38_Chr19  43063284  43067276 :  1153  
Hg38_Chr19  43069391  43072788 :  1179  
Hg38_Chr19  43074530  43076048 :  1156  
Hg38_Chr19  43081930  43098179 :  1180  1173  1161  
Hg38_Chr19  43111528  43116146 :  1164  
Hg38_Chr19  43119331  43120638 :  1174  
Hg38_Chr19  43124957  43150029 :  1181  1175  1182  1165  1166  1167  1168  
Hg38_Chr19  43150130  43151259 :  1183  
Hg38_Chr19  43161648  43163317 :  1184  
Hg38_Chr19  43166815  43177961 :  1153  1154  1155  
Hg38_Chr19  43187114  43188736 :  1185  
Hg38_Chr19  43190826  43199767 :  1186  
Hg38_Chr19  43206248  43207866 :  1185  
Hg38_Chr19  43219787  43220934 :  1161  
Hg38_Chr19  43231711  43239110 :  1163  1164  
Hg38_Chr19  43239764  43242055 :  1165  
Hg38_Chr19  43272870  43287823 :  1158  1159  1160  1161  1162  
Hg38_Chr19  43290392  43325485 :  1163  1187  1188  1189  
Hg38_Chr19  43329293  43337826 :  1190  
Hg38_Chr19  43338503  43340305 :  1191  
Hg38_Chr19  43357847  43360241 :  -433  
Hg38_Chr19  43374536  43376935 :  1192  
Hg38_Chr19  43384868  43391957 :  -441  -440  
Hg38_Chr19  43403685  43411124 :  1193  
Hg38_Chr19  43429757  43487336 :  1194  
Hg38_Chr19  43508053  43517791 :  1195  
Hg38_Chr19  43548787  43639538 :  1196  1197  
Hg38_Chr19  43639826  43642334 :  1198  
Hg38_Chr19  43654961  43664518 :  1199  
Hg38_Chr19  43695949  43777694 :  1200  1201  
Hg38_Chr19  43780641  43788278 :  1202  1203  
Hg38_Chr19  43805767  43853216 :  1204  
Hg38_Chr19  43853855  43917809 :  1205  1206  
Hg38_Chr19  43922298  43936868 :  1207  
Hg38_Chr19  43950523  43951855 :  1208  
Hg38_Chr19  43952173  44004752 :  1209  
Hg38_Chr19  44004896  44117807 :  1210  1211  
Hg38_Chr19  44146985  44199560 :  1212  
Hg38_Chr19  44226709  44231368 :  1213  
Hg38_Chr19  44231369  44270535 :  1214  
Hg38_Chr19  44271512  44302807 :  1215  
Hg38_Chr19  44313361  44388710 :  1216  1217  
Hg38_Chr19  44391425  44394251 :  1218  
Hg38_Chr19  44394300  44396060 :  1219  
Hg38_Chr19  44400609  44407862 :  1220  
Hg38_Chr19  44415301  44455970 :  1221  
Hg38_Chr19  44458394  44488046 :  1222  -404  1223  
Hg38_Chr19  44489801  44537040 :  1224  1225  
Hg38_Chr19  44537311  44546246 :  1226  
Hg38_Chr19  44546884  44593039 :  1227  
Hg38_Chr19  44596034  44643709 :  1228  1229  
Hg38_Chr19  44647741  44667636 :  1230  
Hg38_Chr19  44668607  44693372 :  1231  
Hg38_Chr19  44748905  44757125 :  1232  
Hg38_Chr19  44757579  44778496 :  1233  
Hg38_Chr19  44778710  44801203 :  1234  
Hg38_Chr19  44801635  44809881 :  1235  
Hg38_Chr19  44838502  44843764 :  1236  
Hg38_Chr19  44846007  44862351 :  1237  
Hg38_Chr19  44864827  44869225 :  1238  
Hg38_Chr19  44891569  44894269 :  1239  
Hg38_Chr19  44899809  44910696 :  1240  
Hg38_Chr19  44922023  44928918 :  1241  
Hg38_Chr19  44965469  45002362 :  1242  
Hg38_Chr19  45014365  45047003 :  1243  1244  
Hg38_Chr19  45047787  45068923 :  1245  
Hg38_Chr19  45069018  45073401 :  1246  
Hg38_Chr19  45074025  45134578 :  1247  1248  1249  
Hg38_Chr19  45135178  45171897 :  1250  
Hg38_Chr19  45251645  45309245 :  1251  
Hg38_Chr19  45381089  45383010 :  1252  
Hg38_Chr19  45401105  45410482 :  1253  
Hg38_Chr19  45412255  45428101 :  1254  
Hg38_Chr19  45428291  45455012 :  1255  
Hg38_Chr19  45455209  45458937 :  1256  
Hg38_Chr19  45460063  45482524 :  1257  
Hg38_Chr19  45489876  45519590 :  1258  
Hg38_Chr19  45535878  45562539 :  1259  
Hg38_Chr19  45578717  45598972 :  1260  
Hg38_Chr19  45623668  45647723 :  1261  
Hg38_Chr19  45666027  45731334 :  1262  1263  
Hg38_Chr19  45732673  45742312 :  1264  
Hg38_Chr19  45749386  45792468 :  1265  
Hg38_Chr19  45807507  45815104 :  1266  
Hg38_Chr19  45880895  45886024 :  1267  
Hg38_Chr19  45896924  45902182 :  1268  
Hg38_Chr19  45925366  45973107 :  1269  
Hg38_Chr19  45974213  46037885 :  1270  
Hg38_Chr19  46039773  46065610 :  1271  
Hg38_Chr19  46066791  46187369 :  1272  1273  
Hg38_Chr19  46187748  46191328 :  1274  
Hg38_Chr19  46194380  46272620 :  1275  1276  1277  1278  1279  
Hg38_Chr19  46277893  46396802 :  1280  1281  
Hg38_Chr19  46440156  46443567 :  1282  
Hg38_Chr19  46477315  46502664 :  1283  1284  
Hg38_Chr19  46519990  46539586 :  1285  
Hg38_Chr19  46545733  46562026 :  1286  
Hg38_Chr19  46562829  46566613 :  1287  
Hg38_Chr19  46567871  46576819 :  1288  
Hg38_Chr19  46578426  46599476 :  1289  
Hg38_Chr19  46624856  46628426 :  1290  
Hg38_Chr19  46651265  46662485 :  1291  
Hg38_Chr19  46663325  46706910 :  1292  
Hg38_Chr19  46708332  46773786 :  1293  
Hg38_Chr19  46774547  46807825 :  1294  
Hg38_Chr19  46809176  46830282 :  1295  
Hg38_Chr19  46839124  46860581 :  1296  
Hg38_Chr19  46861478  46869342 :  1297  
Hg38_Chr19  46872978  46889035 :  1298  
Hg38_Chr19  46889316  46978570 :  1299  1300  
Hg38_Chr19  46978994  47009098 :  1301  
Hg38_Chr19  47010631  47042957 :  1302  
Hg38_Chr19  47057260  47114110 :  1303  
Hg38_Chr19  47129145  47173840 :  1304  
Hg38_Chr19  47227556  47231020 :  1305  
Hg38_Chr19  47231352  47243226 :  1306  
Hg38_Chr19  47274863  47283417 :  1307  
Hg38_Chr19  47317702  47366292 :  1308  
Hg38_Chr19  47398863  47400316 :  1309  
Hg38_Chr19  47401405  47406203 :  1310  
Hg38_Chr19  47419418  47526598 :  1311  
Hg38_Chr19  47528127  47578694 :  1312  
Hg38_Chr19  47582988  47593001 :  1313  
Hg38_Chr19  47596743  47608865 :  1314  
Hg38_Chr19  47609957  47694091 :  1315  1316  
Hg38_Chr19  47694703  47718224 :  1317  
Hg38_Chr19  47718612  47746381 :  1318  
Hg38_Chr19  47747972  47759593 :  1319  
Hg38_Chr19  47772326  47778766 :  1320  
Hg38_Chr19  47888380  47905211 :  1321  
Hg38_Chr19  47959080  47994422 :  1322  
Hg38_Chr19  48003938  48023533 :  1323  
Hg38_Chr19  48029576  48032650 :  1324  
Hg38_Chr19  48032725  48042592 :  1325  
Hg38_Chr19  48065823  48077197 :  1326  
Hg38_Chr19  48119128  48129320 :  1327  
Hg38_Chr19  48161828  48166974 :  1328  
Hg38_Chr19  48190188  48194773 :  1329  
Hg38_Chr19  48195088  48232504 :  1330  
Hg38_Chr19  48236762  48257121 :  1331  
Hg38_Chr19  48259235  48261952 :  1332  
Hg38_Chr19  48264138  48267423 :  1333  
Hg38_Chr19  48269687  48274513 :  1334  
Hg38_Chr19  48316096  48323447 :  1335  
Hg38_Chr19  48323774  48352533 :  1336  
Hg38_Chr19  48359588  48390353 :  1337  
Hg38_Chr19  48459242  48482433 :  1338  
Hg38_Chr19  48493503  48494628 :  1339  
Hg38_Chr19  48514596  48519682 :  1340  
Hg38_Chr19  48519996  48532796 :  1341  
Hg38_Chr19  48533027  48540673 :  1342  
Hg38_Chr19  48544648  48554705 :  1343  
Hg38_Chr19  48622763  48646841 :  1344  
Hg38_Chr19  48654085  48668987 :  1345  
Hg38_Chr19  48669576  48678810 :  1346  
Hg38_Chr19  48679570  48698987 :  1347  
Hg38_Chr19  48728745  48734303 :  1348  
Hg38_Chr19  48762012  48776968 :  1349  
Hg38_Chr19  48779619  48786976 :  1350  
Hg38_Chr19  48833005  48834399 :  1351  
Hg38_Chr19  48856931  48863302 :  1352  
Hg38_Chr19  48904080  48906989 :  1353  
Hg38_Chr19  48959471  48962786 :  1354  
Hg38_Chr19  48975912  49001163 :  1355  
Hg38_Chr19  49001365  49012798 :  1356  
Hg38_Chr19  49013900  49022414 :  1357  
Hg38_Chr19  49024389  49026267 :  -269  
Hg38_Chr19  49028544  49034559 :  1358  1359  1360  
Hg38_Chr19  49035896  49039283 :  1361  -269  
Hg38_Chr19  49042466  49045582 :  1362  
Hg38_Chr19  49065183  49072322 :  1363  
Hg38_Chr19  49115824  49119620 :  1364  
Hg38_Chr19  49169358  49172804 :  1365  
Hg38_Chr19  49172954  49216598 :  1366  
Hg38_Chr19  49245791  49299176 :  1367  
Hg38_Chr19  49299546  49313575 :  1368  
Hg38_Chr19  49313806  49322404 :  1369  
Hg38_Chr19  49322626  49386059 :  1370  
Hg38_Chr19  49388692  49445210 :  1371  
Hg38_Chr19  49545759  49568805 :  1372  -246  -245  
Hg38_Chr19  49569589  49572691 :  1373  
Hg38_Chr19  49591601  49595458 :  1374  
Hg38_Chr19  49626492  49677635 :  1375  1376  1377  
Hg38_Chr19  49677688  49679813 :  1378  
Hg38_Chr19  49679851  49714284 :  1379  
Hg38_Chr19  49726384  49785850 :  1380  
Hg38_Chr19  49802018  49815863 :  1381  
Hg38_Chr19  49822531  49851462 :  1382  1383  
Hg38_Chr19  49851828  49888492 :  1384  
Hg38_Chr19  49888904  49890615 :  1385  
Hg38_Chr19  49890842  49902392 :  1386  
Hg38_Chr19  49928233  49934261 :  -240  1688  
Hg38_Chr19  49949287  49964405 :  1387  
Hg38_Chr19  49966112  50028621 :  1388  
Hg38_Chr19  50029147  50070719 :  1389  1390  
Hg38_Chr19  50074454  50076214 :  1689  
Hg38_Chr19  50087341  50090966 :  1690  
Hg38_Chr19  50091568  50092894 :  1391  
Hg38_Chr19  50096905  50098231 :  1391  
Hg38_Chr19  50099970  50101296 :  1391  
Hg38_Chr19  50103035  50104360 :  1391  
Hg38_Chr19  50106098  50107419 :  1391  
Hg38_Chr19  50111445  50112773 :  1391  
Hg38_Chr19  50116798  50118125 :  1391  
Hg38_Chr19  50122149  50123479 :  1391  
Hg38_Chr19  50127477  50128807 :  1391  
Hg38_Chr19  50132824  50134149 :  1391  
Hg38_Chr19  50138196  50139522 :  1391  
Hg38_Chr19  50141762  50153824 :  1392  
Hg38_Chr19  50155157  50160163 :  1393  
Hg38_Chr19  50161112  50163761 :  1394  
Hg38_Chr19  50164018  50166409 :  1395  
Hg38_Chr19  50180584  50225949 :  1396  
Hg38_Chr19  50226445  50239166 :  1397  
Hg38_Chr19  50283258  50315377 :  1398  
